name	type	units	signal_electrode	reference	group	target_muscle
FD-8-8	EMG	uV	E1	REF	FlexorDistal	forearm flexors
FD-8-7	EMG	uV	E2	REF	FlexorDistal	forearm flexors
FD-8-6	EMG	uV	E3	REF	FlexorDistal	forearm flexors
FD-8-5	EMG	uV	E4	REF	FlexorDistal	forearm flexors
FD-8-4	EMG	uV	E5	REF	FlexorDistal	forearm flexors
FD-8-3	EMG	uV	E6	REF	FlexorDistal	forearm flexors
FD-8-2	EMG	uV	E7	REF	FlexorDistal	forearm flexors
FD-8-1	EMG	uV	E8	REF	FlexorDistal	forearm flexors
FD-7-8	EMG	uV	E9	REF	FlexorDistal	forearm flexors
FD-7-7	EMG	uV	E10	REF	FlexorDistal	forearm flexors
FD-7-6	EMG	uV	E11	REF	FlexorDistal	forearm flexors
FD-7-5	EMG	uV	E12	REF	FlexorDistal	forearm flexors
FD-7-4	EMG	uV	E13	REF	FlexorDistal	forearm flexors
FD-7-3	EMG	uV	E14	REF	FlexorDistal	forearm flexors
FD-7-2	EMG	uV	E15	REF	FlexorDistal	forearm flexors
FD-7-1	EMG	uV	E16	REF	FlexorDistal	forearm flexors
FD-6-8	EMG	uV	E17	REF	FlexorDistal	forearm flexors
FD-6-7	EMG	uV	E18	REF	FlexorDistal	forearm flexors
FD-6-6	EMG	uV	E19	REF	FlexorDistal	forearm flexors
FD-6-5	EMG	uV	E20	REF	FlexorDistal	forearm flexors
FD-6-4	EMG	uV	E21	REF	FlexorDistal	forearm flexors
FD-6-3	EMG	uV	E22	REF	FlexorDistal	forearm flexors
FD-6-2	EMG	uV	E23	REF	FlexorDistal	forearm flexors
FD-6-1	EMG	uV	E24	REF	FlexorDistal	forearm flexors
FD-5-8	EMG	uV	E25	REF	FlexorDistal	forearm flexors
FD-5-7	EMG	uV	E26	REF	FlexorDistal	forearm flexors
FD-5-6	EMG	uV	E27	REF	FlexorDistal	forearm flexors
FD-5-5	EMG	uV	E28	REF	FlexorDistal	forearm flexors
FD-5-4	EMG	uV	E29	REF	FlexorDistal	forearm flexors
FD-5-3	EMG	uV	E30	REF	FlexorDistal	forearm flexors
FD-5-2	EMG	uV	E31	REF	FlexorDistal	forearm flexors
FD-5-1	EMG	uV	E32	REF	FlexorDistal	forearm flexors
FD-4-8	EMG	uV	E33	REF	FlexorDistal	forearm flexors
FD-4-7	EMG	uV	E34	REF	FlexorDistal	forearm flexors
FD-4-6	EMG	uV	E35	REF	FlexorDistal	forearm flexors
FD-4-5	EMG	uV	E36	REF	FlexorDistal	forearm flexors
FD-4-4	EMG	uV	E37	REF	FlexorDistal	forearm flexors
FD-4-3	EMG	uV	E38	REF	FlexorDistal	forearm flexors
FD-4-2	EMG	uV	E39	REF	FlexorDistal	forearm flexors
FD-4-1	EMG	uV	E40	REF	FlexorDistal	forearm flexors
FD-3-8	EMG	uV	E41	REF	FlexorDistal	forearm flexors
FD-3-7	EMG	uV	E42	REF	FlexorDistal	forearm flexors
FD-3-6	EMG	uV	E43	REF	FlexorDistal	forearm flexors
FD-3-5	EMG	uV	E44	REF	FlexorDistal	forearm flexors
FD-3-4	EMG	uV	E45	REF	FlexorDistal	forearm flexors
FD-3-3	EMG	uV	E46	REF	FlexorDistal	forearm flexors
FD-3-2	EMG	uV	E47	REF	FlexorDistal	forearm flexors
FD-3-1	EMG	uV	E48	REF	FlexorDistal	forearm flexors
FD-2-8	EMG	uV	E49	REF	FlexorDistal	forearm flexors
FD-2-7	EMG	uV	E50	REF	FlexorDistal	forearm flexors
FD-2-6	EMG	uV	E51	REF	FlexorDistal	forearm flexors
FD-2-5	EMG	uV	E52	REF	FlexorDistal	forearm flexors
FD-2-4	EMG	uV	E53	REF	FlexorDistal	forearm flexors
FD-2-3	EMG	uV	E54	REF	FlexorDistal	forearm flexors
FD-2-2	EMG	uV	E55	REF	FlexorDistal	forearm flexors
FD-2-1	EMG	uV	E56	REF	FlexorDistal	forearm flexors
FD-1-8	EMG	uV	E57	REF	FlexorDistal	forearm flexors
FD-1-7	EMG	uV	E58	REF	FlexorDistal	forearm flexors
FD-1-6	EMG	uV	E59	REF	FlexorDistal	forearm flexors
FD-1-5	EMG	uV	E60	REF	FlexorDistal	forearm flexors
FD-1-4	EMG	uV	E61	REF	FlexorDistal	forearm flexors
FD-1-3	EMG	uV	E62	REF	FlexorDistal	forearm flexors
FD-1-2	EMG	uV	E63	REF	FlexorDistal	forearm flexors
FD-1-1	EMG	uV	E64	REF	FlexorDistal	forearm flexors
FP-8-8	EMG	uV	E1	REF	FlexorProximal	forearm flexors
FP-8-7	EMG	uV	E2	REF	FlexorProximal	forearm flexors
FP-8-6	EMG	uV	E3	REF	FlexorProximal	forearm flexors
FP-8-5	EMG	uV	E4	REF	FlexorProximal	forearm flexors
FP-8-4	EMG	uV	E5	REF	FlexorProximal	forearm flexors
FP-8-3	EMG	uV	E6	REF	FlexorProximal	forearm flexors
FP-8-2	EMG	uV	E7	REF	FlexorProximal	forearm flexors
FP-8-1	EMG	uV	E8	REF	FlexorProximal	forearm flexors
FP-7-8	EMG	uV	E9	REF	FlexorProximal	forearm flexors
FP-7-7	EMG	uV	E10	REF	FlexorProximal	forearm flexors
FP-7-6	EMG	uV	E11	REF	FlexorProximal	forearm flexors
FP-7-5	EMG	uV	E12	REF	FlexorProximal	forearm flexors
FP-7-4	EMG	uV	E13	REF	FlexorProximal	forearm flexors
FP-7-3	EMG	uV	E14	REF	FlexorProximal	forearm flexors
FP-7-2	EMG	uV	E15	REF	FlexorProximal	forearm flexors
FP-7-1	EMG	uV	E16	REF	FlexorProximal	forearm flexors
FP-6-8	EMG	uV	E17	REF	FlexorProximal	forearm flexors
FP-6-7	EMG	uV	E18	REF	FlexorProximal	forearm flexors
FP-6-6	EMG	uV	E19	REF	FlexorProximal	forearm flexors
FP-6-5	EMG	uV	E20	REF	FlexorProximal	forearm flexors
FP-6-4	EMG	uV	E21	REF	FlexorProximal	forearm flexors
FP-6-3	EMG	uV	E22	REF	FlexorProximal	forearm flexors
FP-6-2	EMG	uV	E23	REF	FlexorProximal	forearm flexors
FP-6-1	EMG	uV	E24	REF	FlexorProximal	forearm flexors
FP-5-8	EMG	uV	E25	REF	FlexorProximal	forearm flexors
FP-5-7	EMG	uV	E26	REF	FlexorProximal	forearm flexors
FP-5-6	EMG	uV	E27	REF	FlexorProximal	forearm flexors
FP-5-5	EMG	uV	E28	REF	FlexorProximal	forearm flexors
FP-5-4	EMG	uV	E29	REF	FlexorProximal	forearm flexors
FP-5-3	EMG	uV	E30	REF	FlexorProximal	forearm flexors
FP-5-2	EMG	uV	E31	REF	FlexorProximal	forearm flexors
FP-5-1	EMG	uV	E32	REF	FlexorProximal	forearm flexors
FP-4-8	EMG	uV	E33	REF	FlexorProximal	forearm flexors
FP-4-7	EMG	uV	E34	REF	FlexorProximal	forearm flexors
FP-4-6	EMG	uV	E35	REF	FlexorProximal	forearm flexors
FP-4-5	EMG	uV	E36	REF	FlexorProximal	forearm flexors
FP-4-4	EMG	uV	E37	REF	FlexorProximal	forearm flexors
FP-4-3	EMG	uV	E38	REF	FlexorProximal	forearm flexors
FP-4-2	EMG	uV	E39	REF	FlexorProximal	forearm flexors
FP-4-1	EMG	uV	E40	REF	FlexorProximal	forearm flexors
FP-3-8	EMG	uV	E41	REF	FlexorProximal	forearm flexors
FP-3-7	EMG	uV	E42	REF	FlexorProximal	forearm flexors
FP-3-6	EMG	uV	E43	REF	FlexorProximal	forearm flexors
FP-3-5	EMG	uV	E44	REF	FlexorProximal	forearm flexors
FP-3-4	EMG	uV	E45	REF	FlexorProximal	forearm flexors
FP-3-3	EMG	uV	E46	REF	FlexorProximal	forearm flexors
FP-3-2	EMG	uV	E47	REF	FlexorProximal	forearm flexors
FP-3-1	EMG	uV	E48	REF	FlexorProximal	forearm flexors
FP-2-8	EMG	uV	E49	REF	FlexorProximal	forearm flexors
FP-2-7	EMG	uV	E50	REF	FlexorProximal	forearm flexors
FP-2-6	EMG	uV	E51	REF	FlexorProximal	forearm flexors
FP-2-5	EMG	uV	E52	REF	FlexorProximal	forearm flexors
FP-2-4	EMG	uV	E53	REF	FlexorProximal	forearm flexors
FP-2-3	EMG	uV	E54	REF	FlexorProximal	forearm flexors
FP-2-2	EMG	uV	E55	REF	FlexorProximal	forearm flexors
FP-2-1	EMG	uV	E56	REF	FlexorProximal	forearm flexors
FP-1-8	EMG	uV	E57	REF	FlexorProximal	forearm flexors
FP-1-7	EMG	uV	E58	REF	FlexorProximal	forearm flexors
FP-1-6	EMG	uV	E59	REF	FlexorProximal	forearm flexors
FP-1-5	EMG	uV	E60	REF	FlexorProximal	forearm flexors
FP-1-4	EMG	uV	E61	REF	FlexorProximal	forearm flexors
FP-1-3	EMG	uV	E62	REF	FlexorProximal	forearm flexors
FP-1-2	EMG	uV	E63	REF	FlexorProximal	forearm flexors
FP-1-1	EMG	uV	E64	REF	FlexorProximal	forearm flexors
